x,y
You don't have to be a certain type of person to make friends easily.,Friendship
My childhood friends know me inside out!,Friendship
I was so distracted with the going on in the lawn outside that I didn’t smell the cake burning in the oven!,Food
I like British actors.,FilmAndTV
I want to buy a sofa for the living room,Money
My aim is to show you how war will end.,Politics
I can't beat anyone.,Music
Law is nothing but defending one's own client.,Politics
How about a match of badminton between you and me?,Sport
I like Wayne Rooney a lot!,Sport
I want a robot to solve all my problems in life!,Technology
He broke up with his girlfriend last weekend.,Partner
My boyfriend doesn’t like drinking tea at all!,Food
I love my parents.,Family
I do not want to quit my job.,CareerAndEducation
Do you know about pop music?,Music
Princess Diana loved ABBA and so do I!,FilmAndTV
I love my wife!,Partner
Innovations in technological sector has increased a lot.,Technology
I've been learning to appreciate the good around me.,Health
Our politicians should lobby for green technologies in farming.,Politics
Did you know raisins are dried grapes?,Food
I have not been keeping well from the last few days.,Health
I've got low blood pressure.,Health
My colleagues apologized for their mistakes committed.,Colleagues
I can play quite a few songs.,Music
My memories have some beautiful moments embedded in them.,Health
A war can never create peace.,Politics
I wish I could do something for poor people.,Money
My uncle has earned a large amount of money in his career.,CareerAndEducation
I don't get along with this colleague of mine.,Colleagues
Chess is a two player game.,Sport
I don't want to become a lawyer.,CareerAndEducation
I have two choices of preschools for my child.,Family
Red meat and fried fish should be avoided by diabetic patients.,Food
My parents were very worried about my health.,Family
I sit with her and watch movies every weekend!,FilmAndTV
I only have one best friend.,Friendship
I joined a dating club where you find like minded girls.,Sport
It takes a long time to earn money.,Money
I have to remember to work out at least twice a week.,Health
Western music songs are more popular.,Music
Jason and Mark have been badly hurt.,Health
Politicians are the biggest hypocrites.,Politics
I like to play badminton everyday!,Sport
Cassini-Huygens mission is the greatest mission of the history.,Technology
My grandparents gifted me this watch 10 years ago.,Family
Spotify has made my life easy.,Health
Some of the beggars in the city are neither poverty stricken nor homeless.,Money
I really like playing the piano.,Music
"I associate autumn season with mellowness, serenity, falling leaves and rest.",Colleagues
My mom bakes the best chocolate cake.,Food
People get to choose their girlfriends. What stupid logic is that?,Friendship
Working in an office and doing a desk job is not what I expected it to be.,CareerAndEducation
My parents work really hard.,Family
I think my boss hates me!,Colleagues
I wish to triple my income by the end of the year.,Money
"For all her bravery and determination, she is not over the emotional trauma of losing her parents.",Family
I initially could hold the plank position only for 30 secs.,Health
I caught my nephews sneaking out the house.,Family
I usually feel motivated due to money.,Money
I like Arsenal football club.,Sport
I like to watch romantic comedies on television.,Technology
I just got shouted at by my boss.,Colleagues
My friends took me to various saloons.,Friendship
Which character of Big Bang theory do you love the most?,FilmAndTV
Everyone should vote in the elections.,Politics
How can I earn enough to take home something?,Money
Her parents didn't had the time to listen to me.,Family
My friend got angry with me today.,Friendship
I love musicals.,FilmAndTV
I want to manage a football club,Sport
Why not order something for your friend from Amazon?,Technology
I have to improve myself for my partner.,Partner
She will be acting in a movie.,FilmAndTV
I need to get over my fear of needles.,Health
I was very distracted when our boss was lecturing us on ethics.,Colleagues
I surround myself with good people as it makes me feel better!,Health
It is my mother’s birthday next week!,Family
My girlfriend spent two days at home last week!,Partner
The Ivy Leagues are the best educational institutes of course!,Sport
Watching stage plays is a beautiful feeling because we can see the original acting of the theatre artists.,FilmAndTV
I would never want to be homeless.,Money
Does your friend know the password?,Friendship
He proposed me today!,Friendship
I cannot wait for the winters! Its been so long since I last went for skiing.,Sport
Politics and dirty are synonymous words.,Politics
Sherlock Holmes is my favourite fictional character.,FilmAndTV
I have got a deal to record my first album.,Music
I always wear a chain given to me by my partner.,Partner
My friend demotivated me to go for gym.,Sport
Sophia is a humanoid robot.,Technology
My dad always wanted to play in a band.,Music
These parties are affecting my health.,Health
The aliens in movie Arrival perceived time in a linear fashion.,FilmAndTV
I have practiced a lot this time around. I will surely get into my school's football team.,Sport
My friends are asking me to join them and we ended up fighting.,Friendship
I don't think I'll be able to recover my health before the weekend.,Health
I practice singing daily.,Music
I find Simon Cowell very talented.,FilmAndTV
I have nothing to say to the Queen.,Politics
I will earn so much that I will buy my own Porsche.,Money
I never expected this from my partners.,Partner
I’m looking for a way to evade getting fined from my bank.,Money
I would be happy to give something to my friends.,Friendship
I think that's a waste of my friend's talent.,Friendship
I had an argument with my colleague today,Colleagues
I want to bring a change in politics.,Politics
The network ran into controversy over claims of faked documentary footage.,FilmAndTV
What does a lion eats?,Food
I love how kind my boss is.,Colleagues
My friends were ignoring me in the office today.,Friendship
I have been in a constant state of trauma ever since my wife has started neglecting me!,Partner
I want to make a portrait of my niece.,Family
It has been ten years since 'Friends' aired.,FilmAndTV
I want to earn so much that I can retire my parents so that they live a peaceful life.,Family
She hasn’t eaten anything for 3 days!,Health
I got a lot of bouquets and chocolates from my friends today.,Food
The Wi-Fi technology has been improved now a days.,Technology
They applied ice-packs on his face to ease the beating of the first round!,Health
I need some energy drink in my system.,Food
I invited my friends for a get together but most of them were busy!,Friendship
I played cricket after I got free from my art classes.,Sport
Some people are thinking of leaving their current job.,CareerAndEducation
Why should I bath daily?,Health
Swimming doesn't excites me like it does for him.,Sport
Both the parties are equally likely to win the elections.,Politics
My health has not been that good lately!,Health
My colleague and I share a great rapport.,Colleagues
I bought a music CD today after years.,Music
Meeting my college friends always makes me happy.,Friendship
Which actor's movie must I watch?,FilmAndTV
My microwave isn't working,Technology
My computer got a free upgrade for Windows 10,Technology
I don't understand how people can have so many hobbies. I can barely keep up with college.,CareerAndEducation
I won the painting competition.,Sport
I made a strong connection with my girlfriend from our very first date.,Partner
Listening to music everyday keeps me composed.,Music
I've been down with fever for three days now.,Health
Less income is dangerous.,Money
I'd like to talk to my trainer before upper body workouts.,Health
Technology will take over humans in a few more years.,Technology
I like to listen spanish songs.,Music
The best thing I could do was leave a Tweet regarding my opinion on Twitter!,Technology
I don't like to be the boss.,Colleagues
I tried to not think of my partner before going out.,Partner
I broke off the promise that I would not drink alcohol again.,Food
I did not have any friend in college.,Friendship
I aim to be an expert in military engineering.,Technology
I just went out on a date.,Partner
I wish I had my own guitar.,Music
I promised my teacher that I would let her know about my decision soon.,CareerAndEducation
I think I should quit smoking.,Health
My colleagues have been talking about me behind my back.,Colleagues
Mushrooms are so colourful.,Food
I miss the fun filled days of the high school.,CareerAndEducation
Do you know Steve Jobs' success story?,CareerAndEducation
The internet is filled with some hilarious content.,Technology
I think some of my colleagues are a bit irritated by me.,Colleagues
I chose corporate as a career because everyone was running towards it.,CareerAndEducation
I ended up breaking my violin.,Music
What’s the saddest song you’ve ever heard?,Music
How do I end the war with my emotions?,Politics
I hate spam emails.,Technology
Having feelings for someone is a pretty complicated affair.,Partner
I plan to build a shelter home for the elders. I need to propose it to the city council first.,Politics
My partners met in the garden to talk.,Partner
I have a very bad cough.,Health
Badminton is a great sport.,Sport
Olive thinks that she was the reason behind the accident.,Food
Meditation music is so soothing just before sleep.,Music
They decided to buy blue colour.,Money
I hate losing my tone.,Music
I fought my boyfriend.,Partner
I want to try to exploit her memories.,Health
I want government to bring a new sports policy.,Politics
I find it hard to not judge people.,Politics
The Chinese restaurant near my office is the best place to eat authentic Chinese food.,Food
"Hey, have you ever been to a music festival?",Music
I plan to eat this cookie! It seems nice and tasty!,Food
I was nervous during the football match today.,Sport
I had a fight with my boyfriend.,Partner
I fight with my boss everyday!,Colleagues
They are a small theatre group.,FilmAndTV
My parents are disappointed by my performance and I think will not allow me to go to the Music Festival.,Music
My favourite pastime is listening to music.,Music
My friends just tag on Facebook posts when they miss me!,Technology
My colleague hates applying nail paints.,Colleagues
I can cook my own food.,Food
Udacity has some good technical courses.,CareerAndEducation
I have been able to play a lot of games on my computer.,Sport
Recovering from typhoid usually takes more than a week.,Health
"I have many friends who speak fluently, but still don't sound like native speakers.",Friendship
"If you've ever gone to an art exhibition opening, you know that the drinks are endless.",Food
I want to run for office.,Politics
My friends choose to be jealous.,Friendship
I love eating cheese when I get injured.,Food
My laptop doesn't work.,Technology
Rafting last summer was a lot of fun!,Sport
I want to switch to plant based foods.,Food
I met my friend on the street.,Friendship
Selena's relatives were busy in the party.,Family
We should protect ourselves from that illness.,Health
I sympathise for first time parent. My sister and brother-in-law barely make it through the night!,Family
I do not have the same relation with my boyfriend anymore.,Partner
I won't date anyone who disrespects my family.,Family
The computers need to be repaired before I leave for tomorrow!,Technology
"Do you like books, novels, anything?",CareerAndEducation
The only competitor I have is myself.,Sport
My colleague is unhappy with his performance.,Colleagues
I no longer wants to marry my cousin.,Partner
Rich people earn their Fortune by taking away other people's hard work.,Money
Eating pizzas and drinking soda is my favourite pastime.,Food
Am I okay?,Health
I wonder how politicians get filthy rich.,Politics
My girlfriend and I moved in together!,Partner
Bruno Mars's music is just amazing!,Music
I teach kids by conducting tuitions.,Friendship
I attended a music show last week.,Music
I promised my son I'd take him out tonight. He's been grounded for the past week.,Family
My colleague is out of town.,Colleagues
There was an emergency at my friend's hostel who was very lonely.,Friendship
Health and wellness is a complicated issue.,Health
I had to make a choice between my girlfriend and best friend.,Friendship
Everybody is obsessed about Game of Thrones.,FilmAndTV
I promised myself to get fit this year.,Health
He had the courage to overcome his illness.,Health
"I, sometimes, play basketball but that's just a hobby.",Sport
I love studying about new technologies.,Technology
I and my partners want to give a good presentation of the product during launch.,Partner
I understand her so much that I know everything before explaining.,Partner
My schooling is different from my friend's schooling.,Friendship
I have found a new job.,CareerAndEducation
It is good to maintain a dignified relationship with all your colleagues.,Colleagues
I see a lot of young advocates struggling for little amount of money.,CareerAndEducation
I plan to write thank you notes for my teachers.,CareerAndEducation
My niece entertained me a lot with her antics.,Family
I thin k some technology has made the world worse.,Technology
I don’t let my kids eat a lot of junk food.,Food
Do you like junk food?,Food
I wish it could make my sister jealous.,Family
I want to get into online teaching,Technology
Do you listen to the radio?,Technology
I aim to be an expert in monetary policy.,Money
There are so many good TV series on Netflix.,FilmAndTV
My art won first prize at the competition.,Sport
I love playing Tennis on Sunday mornings.,Sport
I might have injured my right wrist.,Health
I forgot my wallet at home. I have no money.,Money
I can't seem to give up on smoking.,Health
I tried meat for the first time in my life.,Food
I like to play racing games on PC.,Sport
Career choices are many these days.,CareerAndEducation
I love trekking and hiking for fun.,Sport
It was my sister's engagement party yesterday.,Partner
My friend Jenny is not talking to me,Friendship
I feel love for music.,Music
I got angry at my boss and started yelling.,Colleagues
Shoulders are the best place to massage.,Health
I wish to put a stall at the Horticulture flower show but it will cost a lot.,Money
I was cleaning the attic today.,Health
My classmates are entertaining.,Colleagues
It was a war between the 2 children.,Politics
I have a fan of cartoon characters since my childhood.,FilmAndTV
We aim to stamp out poverty in our lifetimes.,Money
Protein powder is not good if you don't exercise.,Food
Some celebrities really work hard.,Money
All of us are in a race to complete the monthly goal at work. But one of my colleagues acted really rude to me today,Colleagues
I share a good understanding with my boss at work!,Colleagues
I tried both swimming and rowing to get over my fear of water.,Food
Education makes us feel empowered.,CareerAndEducation
I want to try skydiving from the highest peak.,Sport
I have always cherished the bonding with my husband.,Partner
"Since Andy's work disappointed our boss, he's asked me to work at this weekend!",Colleagues
Film industry is biased for female actors.,FilmAndTV
Sophia the humanoid robot stated that she wants to have a child now.,Technology
I do watch that TV show!,FilmAndTV
I think poor people face infinite problems.,Money
I have made a plan for bringing my friends together.,Friendship
I have been rejected in so many interviews.,Technology
My partner took me to a hill.,Partner
My whole family is down with the flu this week!,Family
I give submission in a magazine which talks about a catena of things.,Health
Poverty is a great threat to humanity.,Money
I just hate politics and all the politicians!,Politics
I have to plan a weekend party.,Friendship
I don't like this new office work.,CareerAndEducation
My colleagues were extremely happy.,Colleagues
You are your own happiness coach.,Sport
I told my friends to play card game,Friendship
Are elections an essential process?,Politics
Many of my friends had crush on someone.,Friendship
I think Christmas can never be fun without involving your family.,Family
My boss has been bugging me lately.,Colleagues
I like watching shows with varied characters.,FilmAndTV
My friends called me stupid,Friendship
I have dependable friends.,Friendship
My life with my boyfriend is very special.,Partner
I used to think rap music was really cool.,Music
The show host has to be the most boring one on television right now!,Technology
I had a fight with my elder brother yesterday.,Family
Soccer is a fantastic sport.,Sport
One of my colleagues was assigned to manage the Ad Mad show,Colleagues
My friend earns a lot.,Friendship
Our pet tore the new couch that my dad bought last week.,Family
Rachel forged the documents and hid the real ones in an encrypted file in her laptop.,Technology
I need some bright ideas on how to make more money quickly.,Money
My knee surgery might take a lot of time.,Health
Shakespeare in Love' is such a beautiful movie!,FilmAndTV
There are alternative sources of nutrition to animal meat.,Food
Celebrities have an arrogant nature.,FilmAndTV
I wish to try every cuisine possible.,Food
I told my family about my dreams to be a writer.,FilmAndTV
My parents are not understanding at all.,Family
Walking helps me keep a check on my health.,Health
I was disappointed by the Broadway musical.,FilmAndTV
"As a caregiver, one often has to deal with very grumpy old men.",Family
Well I have been thinking about supplementing my income in some way.,Money
Technology is rapidly developing,Technology
I composed a music which was lost.,Music
I don't know whether should I play games or complete my work.,Sport
I enjoy listening to the pop music.,Music
Nowadays in football great players are trying to start their career as managers.,Sport
This chair is so uncomfortable. Should I buy a new one?,Money
